window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,repetitions,seeds,algorithm,congestion_history_weight,mean_request_throughput_pairs_s,throughput_std_pairs_s,total_edr_pairs_s,edr_std_pairs_s,mean_completed_pairs,mean_dropped_pairs,mean_in_flight_pairs,throughput_change_pct_vs_historical,edr_change_pct_vs_historical
5,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,86.300000,9.021146,431.500000,45.105728,4315.000000,14.666667,53.000000,0.000000,0.000000
5,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,86.133333,8.493297,430.666667,42.466484,4306.666667,14.000000,53.333333,-0.193125,-0.193125
10,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,104.080000,6.494387,520.400000,32.471937,5204.000000,265.333333,106.333333,0.000000,0.000000
10,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,114.393333,10.618604,571.966667,53.093021,5719.666667,199.333333,106.000000,9.909044,9.909044
15,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,108.860000,8.490952,544.300000,42.454760,5443.000000,1026.333333,157.666667,0.000000,0.000000
15,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,115.733333,10.317950,578.666667,51.589749,5786.666667,593.666667,158.333333,6.313920,6.313920
20,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,103.440000,19.697601,517.200000,98.488003,5172.000000,2181.666667,210.666667,0.000000,0.000000
20,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,113.226667,12.665726,566.133333,63.328631,5661.333333,1422.333333,210.666667,9.461201,9.461201
25,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,97.973333,20.173939,489.866667,100.869696,4898.666667,3082.666667,261.666667,0.000000,0.000000
25,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,111.453333,15.058644,557.266667,75.293219,5572.666667,2363.000000,265.666667,13.758846,13.758846
30,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,96.793333,21.082153,483.966667,105.410763,4839.666667,3895.333333,315.333333,0.000000,0.000000
30,10,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,105.573333,16.417733,527.866667,82.088665,5278.666667,3553.666667,315.000000,9.070873,9.070873
