window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,repetitions,seeds,algorithm,congestion_history_weight,mean_request_throughput_pairs_s,throughput_std_pairs_s,total_edr_pairs_s,edr_std_pairs_s,mean_completed_pairs,mean_dropped_pairs,dropped_std_pairs,mean_in_flight_pairs,mean_edr_cv,edr_cv_std,throughput_change_pct_vs_historical,edr_change_pct_vs_historical
1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,19.520000,0.000000,97.600000,0.000000,976.000000,0.000000,0.000000,10.666667,0.002049,0.000000,0.000000,0.000000
2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,38.106667,1.206796,190.533333,6.033978,1905.333333,43.333333,61.282588,21.333333,0.030535,0.040279,0.000000,0.000000
2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,38.106667,1.206796,190.533333,6.033978,1905.333333,43.333333,61.282588,21.333333,0.030535,0.040279,0.000000,0.000000
2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,38.880000,0.113137,194.400000,0.565685,1944.000000,0.666667,0.942809,21.333333,0.004371,0.003277,0.000000,0.000000
2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,38.720000,0.339411,193.600000,1.697056,1936.000000,0.000000,0.000000,21.333333,0.009158,0.010047,-0.411523,-0.411523
2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,38.813333,0.207418,194.066667,1.037090,1940.666667,0.000000,0.000000,21.333333,0.006485,0.006268,0.000000,0.000000
2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,38.973333,0.018856,194.866667,0.094281,1948.666667,0.000000,0.000000,21.333333,0.001909,0.000204,0.412229,0.412229
3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,53.206667,3.886158,266.033333,19.430789,2660.333333,298.000000,222.896089,30.000000,0.153026,0.106723,0.000000,0.000000
3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,53.206667,3.886158,266.033333,19.430789,2660.333333,298.000000,222.896089,30.000000,0.153026,0.106723,0.000000,0.000000
3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,56.700000,2.277016,283.500000,11.385078,2835.000000,15.333333,20.981473,32.000000,0.036467,0.047230,0.000000,0.000000
3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,57.293333,1.161417,286.466667,5.807084,2864.666667,0.333333,0.471405,32.000000,0.022994,0.020779,1.046443,1.046443
3,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,historical_only,1.000000,56.706667,2.281656,283.533333,11.408282,2835.333333,2.666667,3.771236,32.000000,0.038091,0.049925,0.000000,0.000000
3,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,3,101;202;303,real_time_memory_aware,0.500000,57.986667,0.444322,289.933333,2.221611,2899.333333,0.000000,0.000000,32.000000,0.011321,0.011877,2.257230,2.257230
